,submission_id,topic_champion
0,o00m44,twisted fate
1,o00j2e,xerath
2,o00gbv,aatrox
2,o00gbv,ahri
3,o00c4g,aatrox
3,o00c4g,ahri
4,o00azn,olaf
4,o00azn,tryndamere
5,o00672,aatrox
5,o00672,ahri
6,o0036v,aatrox
6,o0036v,ahri
7,o0003p,aatrox
7,o0003p,ahri
8,nzzyiu,aatrox
8,nzzyiu,ahri
9,nzzrjj,aatrox
9,nzzrjj,ahri
10,nzzmtk,aatrox
10,nzzmtk,ahri
11,nzzlwx,lee sin
12,nzziqr,diana
12,nzziqr,leona
13,nzzh7c,aurelion sol
14,nzzf3d,aatrox
14,nzzf3d,ahri
15,nzzeps,amumu
15,nzzeps,xerath
16,nzzce3,aatrox
16,nzzce3,ahri
17,nzzcca,aatrox
17,nzzcca,ahri
18,nzzc4z,pyke
18,nzzc4z,shaco
19,nzzb2x,aatrox
19,nzzb2x,ahri
20,nzz4be,aatrox
20,nzz4be,ahri
21,nzz38k,aatrox
21,nzz38k,ahri
22,nzz0ua,aatrox
22,nzz0ua,ahri
23,nzz0f4,aatrox
23,nzz0f4,ahri
24,nzyzl2,sett
25,nzytd4,aatrox
25,nzytd4,ahri
26,nzysc4,azir
27,nzyrvg,kalista
28,nzymfj,brand
29,nzykn4,jarvan iv
29,nzykn4,talon
30,nzyk6v,aatrox
30,nzyk6v,ahri
31,nzyjql,aatrox
31,nzyjql,ahri
32,nzyhs0,aatrox
32,nzyhs0,ahri
33,nzybnv,aatrox
33,nzybnv,ahri
34,nzy94d,seraphine
35,nzy5kc,aatrox
35,nzy5kc,ahri
36,nzy4ek,kog'maw
36,nzy4ek,ornn
37,nzy38b,aatrox
37,nzy38b,ahri
38,nzy1op,aatrox
38,nzy1op,ahri
39,nzxxct,aatrox
39,nzxxct,ahri
40,nzxunp,aatrox
40,nzxunp,ahri
41,nzxuj8,aatrox
41,nzxuj8,ahri
42,nzxrfb,aatrox
42,nzxrfb,ahri
43,nzxr63,aatrox
43,nzxr63,ahri
44,nzxlg5,aatrox
44,nzxlg5,ahri
45,nzxky1,xerath
46,nzxfso,kog'maw
47,nzxejs,aatrox
47,nzxejs,ahri
48,nzxbbw,riven
